first_name,last_name,department,job_title,email
Michael,Scott,Education,Regional Manager,mscott@gmail.com
Dwight,Schrute,Sales,Assistant to the Regional Manager,dschrute@gmail.com
Jim,Halpert,Sales,Sales Representative,jhalpert@gmail.com
Pam,Beesly,Reception,Receptionist,pbeesly@gmail.com
Ryan,Howard,Temps,Temp,rhoward@gmail.com
Andy,Bernard,Sales,Sales Representative,abernard@gmail.com
Robert,California,Corporate,CEO,rcalifornia@gmail.com
Stanley,Hudson,Sales,Sales Representative,shudson@gmail.com
Kevin,Malone,Accounting,Accountant,kmalone@gmail.com
Angela,Martin,Accounting,Accountant,amartin@gmail.com
Oscar,Martinez,Accounting,Accountant,omartinez@gmail.com
Phyllis,Vance,Sales,Sales Representative,pvance@gmail.com
Toby,Flenderson,HR,HR Representative,tflenderson@gmail.com
Kelly,Kapoor,Customer Service,Customer Service Representative,kkapoor@gmail.com
Darryl,Philbin,Warehouse,Warehouse Foreman,dphilbin@gmail.com
Creed,Bratton,Quality Assurance,Quality Assurance,cbratton@gmail.com
Meredith,Palmer,Supplier Relations,Supplier Relations,mpalmer@gmail.com
Erin,Hannon,Reception,Receptionist,ehannon@gmail.com
Gabe,Lewis,Corporate,Coordinating Director of Emerging Regions,glewis@gmail.com
Jan,Levinson,Corporate,Vice President of Northeast Sales,jlevinson@gmail.com
David,Wallace,Corporate,CFO,dwallace@gmail.com
Holly,Flax,HR,HR Representative,hflax@gmail.com
Charles,Miner,Corporate,Vice President of the Northeast Region,cminer@gmail.com
Jo,Bennett,Corporate,CEO of Sabre,jbennett@gmail.com
Clark,Green,Sales,Sales Representative,cgreen@gmail.com
Pete,Miller,Customer Service,Customer Service Representative,pmiller@gmail.com
